Episode,DDPG_Obj,Exhaustive method_Obj,DDPG_Time,Exhaustive method_Time
1,0.11330802043260535,0.11326686769910219,231.51986408233643,0.0016100406646728516
2,0.37766483614488056,0.34373170727182795,133.25809264183044,0.15805315971374512
3,0.44843588416288216,0.44299209775073517,225.57897305488586,15.852362871170044
4,0.5411100389587994,0.46965023569701464,231.10887670516968,1560.4871640205383
