Episode,DDPG,RAM,FAM,DQN
1,0.41514535738142644,0.5469720865403283,0.5630534163407814,0.5730387451366077
2,0.41071331929441107,0.5469720865403283,0.5630534163407814,0.5524112069339467
3,0.4036833137839434,0.5046174664606372,0.511719512671798,0.5075513329188053
4,0.4036833137839434,0.5046174664606372,0.511719512671798,0.5024873816177315
5,0.39953814269727667,0.48029520855315216,0.49552850692521605,0.47752796659197394
6,0.39953814269727667,0.48029520855315216,0.49552850692521605,0.47752796659197394
7,0.3989295287428001,0.48029520855315216,0.48992527736497493,0.47425776982574136
8,0.3981192850038844,0.48029520855315216,0.48992527736497493,0.47189554700097813
9,0.3981192850038844,0.4729730028448344,0.47146493983587245,0.47189554700097813
10,0.3980967504139822,0.42992239481006145,0.4397447820026904,0.47189554700097813
11,0.3971889255390996,0.42992239481006145,0.4397447820026904,0.46582975309125796
12,0.3971889255390996,0.42992239481006145,0.4397447820026904,0.46582975309125796
13,0.3971889255390996,0.419597450031882,0.43776679156924836,0.4565888350253685
14,0.39588141161913964,0.39979746185699006,0.43141485164001026,0.4565888350253685
15,0.39588141161913964,0.39979746185699006,0.42310576916544135,0.4565888350253685
16,0.39534885916520957,0.39979746185699006,0.42310576916544135,0.44620085634175777
17,0.39534885916520957,0.39979746185699006,0.41806801448557007,0.4428939384472222
18,0.39534885916520957,0.39979746185699006,0.41806801448557007,0.4428939384472222
19,0.39534885916520957,0.39979746185699006,0.41806801448557007,0.4428939384472222
20,0.39534885916520957,0.39979746185699006,0.4072506843040422,0.4423322800026453
21,0.39534885916520957,0.39979746185699006,0.4072506843040422,0.4423322800026453
22,0.3925428740761334,0.39979746185699006,0.4072506843040422,0.4423322800026453
23,0.3925428740761334,0.39979746185699006,0.4072506843040422,0.4423322800026453
24,0.3925428740761334,0.39979746185699006,0.4072506843040422,0.4423322800026453
25,0.3925428740761334,0.39979746185699006,0.4072506843040422,0.4423322800026453
26,0.3925428740761334,0.39979746185699006,0.4072506843040422,0.4423322800026453
27,0.39237369766304064,0.39979746185699006,0.4072506843040422,0.4364233349947833
28,0.392112911425291,0.39979746185699006,0.4072506843040422,0.4364233349947833
29,0.38706493867320574,0.3950046107680529,0.4072506843040422,0.42987945131767524
30,0.38706493867320574,0.3950046107680529,0.4072506843040422,0.42987945131767524
31,0.38706493867320574,0.3950046107680529,0.4072506843040422,0.42987945131767524
32,0.38408982184200324,0.3950046107680529,0.4072506843040422,0.42987945131767524
33,0.38408982184200324,0.3950046107680529,0.4072506843040422,0.42987945131767524
34,0.38407785755134166,0.3950046107680529,0.4072506843040422,0.42987945131767524
35,0.3838094255111244,0.3837616387578356,0.40513678761835104,0.42987945131767524
36,0.38353841983047376,0.3837616387578356,0.40513678761835104,0.42142484472047814
37,0.38235707490285276,0.3837616387578356,0.40513678761835104,0.42142484472047814
38,0.38235707490285276,0.3837616387578356,0.40513678761835104,0.41866419377953007
39,0.38235707490285276,0.3837616387578356,0.40513678761835104,0.41866419377953007
40,0.3808082642469308,0.3776146678977371,0.38851984198892026,0.41866419377953007
41,0.37526300249751365,0.37351059054364893,0.38499979779509347,0.4142150144150126
42,0.37526300249751365,0.37351059054364893,0.38499979779509347,0.4132834673522331
43,0.37435690633341323,0.37351059054364893,0.38499979779509347,0.4132834673522331
44,0.37435690633341323,0.37351059054364893,0.38499979779509347,0.4132834673522331
45,0.3730670451610519,0.37351059054364893,0.38499979779509347,0.4132834673522331
46,0.37224679310619024,0.37351059054364893,0.38499979779509347,0.4132834673522331
47,0.3721107204667235,0.37351059054364893,0.38499979779509347,0.4132834673522331
48,0.3721107204667235,0.37351059054364893,0.38499979779509347,0.4132834673522331
49,0.37035297301117776,0.37351059054364893,0.38499979779509347,0.4132834673522331
50,0.37035297301117776,0.37351059054364893,0.38499979779509347,0.4132834673522331
